Alfa, Beta, Gamma, Alfa Rate, Beta Rate, Gamma Rate
-2.236118,89.692955,171.14757,-0.2707839,-0.15449524,-2.5177002,
-2.2678025,89.644516,170.07245,-0.23061037,0.049591064,2.3155212,
-2.2389011,89.667885,170.55487,-0.11515617,0.076293945,2.2201538,
-2.2365649,89.69274,171.13606,0.19204617,0.0743866,1.2626648,
-2.2376297,89.68346,170.94154,0.22685528,0.11444092,2.1362305,
-2.252141,89.67904,170.89526,0.22685528,0.11444092,2.1362305,
-2.2434635,89.681885,170.91402,-0.17893314,0.3528595,8.876801,
-2.2436523,89.682106,170.92966,-0.17893314,0.3528595,8.876801,
-2.2428417,89.68233,170.90753,-0.121831894,0.08773804,2.7656555,
-2.2534688,89.68323,170.95387,0.3771782,-0.34332275,-10.463715,
-2.2582316,89.681755,170.94035,-0.2913475,0.0667572,3.1738281,
-2.2562878,89.671875,170.68503,0.08177757,-0.04386902,-1.499176,
-2.241937,89.67755,170.775,0.04595518,0.034332275,0.61035156,
-2.24284,89.67705,170.7782,0.0046491623,0.05722046,1.373291,
-2.2343984,89.682495,170.88948,0.0046491623,0.05722046,1.373291,
-2.2334592,89.681984,170.91386,0.10204315,0.38909912,7.9841614,
-2.2102327,89.67252,170.5496,0.045895576,0.1335144,3.501892,
-2.2233646,89.674545,170.63902,0.045895576,0.1335144,3.501892,
-2.2453167,89.665054,170.46588,-0.18918514,-0.05531311,-0.60272217,
-2.2463956,89.68449,170.96655,-0.12344122,0.18692017,4.9324036,
-2.249148,89.69017,171.12363,-0.35840273,0.12207031,4.3182373,
-2.2392352,89.68309,170.91756,0.22536516,0.13923645,2.7389526,
-2.2271538,89.693306,171.11586,-0.3029108,0.18119812,5.5007935,
-2.2400665,89.7004,171.32742,0.37378073,-0.0705719,-3.112793,
-2.2385335,89.69645,171.22783,0.16003847,0.18119812,4.1007996,
-2.2390714,89.67422,170.68332,0.083088875,-0.16975403,-4.5547485,
-2.2347481,89.67992,170.81407,0.083088875,-0.16975403,-4.5547485,
-2.232921,89.68197,170.8537,0.23055077,-0.04386902,-2.0256042,
-2.2533557,89.709694,171.5943,0.23055077,-0.04386902,-2.0256042,
-2.2490833,89.70275,171.4187,0.23055077,-0.04386902,-2.0256042,
-2.2455761,89.69431,171.2025,-0.5735159,-0.09727478,-0.25177002,
-2.252999,89.68716,171.05379,-0.5735159,-0.09727478,-0.25177002,
-2.2393959,89.67076,170.59146,-0.18030405,-0.14686584,-2.7198792,
-2.2502086,89.68826,171.07025,-0.26738644,-0.41770935,-8.918762,
-2.2558222,89.68524,171.03145,0.0023841858,0.3414154,8.644104,
-2.257221,89.69059,171.1639,-0.24491549,0.1449585,4.623413,
-2.2604046,89.712746,171.70312,0.124931335,-0.17929077,-4.9362183,
-2.2611341,89.70909,171.62265,0.124931335,-0.17929077,-4.9362183,
-2.2386425,89.6815,170.88783,0.39839745,0.0038146973,-1.5258789,
-2.2473965,89.680626,170.88005,0.39839745,0.0038146973,-1.5258789,
-2.2639635,89.685295,171.04839,0.39839745,0.0038146973,-1.5258789,
-2.268318,89.68702,171.10893,0.35768747,0.17738342,3.4675598,
-2.2524993,89.677734,170.81244,0.35768747,0.17738342,3.4675598,
-2.238851,89.67495,170.70679,0.35768747,0.17738342,3.4675598,
-2.2570374,89.70518,171.52625,-0.16540289,-0.35095215,-8.262634,
-2.247033,89.70989,171.59529,-0.24819374,0.04005432,3.3226013,
-2.2474775,89.68663,171.01329,0.01937151,0.015258789,0.2670288,
-2.2579465,89.67824,170.84085,0.01937151,0.015258789,0.2670288,
-2.2404492,89.69199,171.12431,-0.14615059,0.076293945,2.357483,
-2.2477226,89.69111,171.14429,-0.19401312,-0.23460388,-4.798889,
-2.2447314,89.68368,170.94258,0.13005733,-0.08773804,-2.7770996,
-2.2722206,89.67155,170.73381,0.31512976,-0.54359436,-13.98468,
-2.2729206,89.66488,170.57602,-0.21183491,-0.28800964,-5.935669,
-2.2744656,89.680046,168.9633,0.16081333,0.19073486,5.9814453,
-2.2598479,89.674934,170.48524,-0.13411045,0.08773804,3.2081604,
-2.2544944,89.684265,170.7488,0.045120716,0.0743866,1.9073486,
-2.2559412,89.68894,170.9469,-0.06788969,0.18119812,4.6310425,
-2.2672231,89.663635,170.48132,-0.66775084,-0.0019073486,2.7046204,
-2.2649963,89.67199,170.69641,-0.66775084,-0.0019073486,2.7046204,
-2.2614489,89.66765,170.57422,-0.66775084,-0.0019073486,2.7046204,
-2.2680721,89.67581,170.81184,0.011026859,-0.15258789,-3.704071,
-2.2697031,89.67707,170.8494,0.18012524,-0.22888184,-6.42395,
-2.2590425,89.68183,170.93814,0.029087067,-0.26130676,-6.565094,
-2.2494135,89.6842,170.9584,-0.29993057,0.3414154,9.0789795,
-2.2451365,89.68022,170.84076,-0.29993057,0.3414154,9.0789795,
-2.2614095,89.69503,171.27164,-0.29993057,0.3414154,9.0789795,
-2.2538624,89.68194,170.91866,-0.089764595,0.34332275,9.731293,
-2.2556553,89.69243,171.19122,-0.089764595,0.34332275,9.731293,
-2.2396963,89.70094,171.34538,0.07772446,0.10871887,2.5177002,
-2.2546034,89.698235,171.3293,-0.14126301,-0.56266785,-13.09967,
-2.241122,89.681885,170.86346,0.19186735,0.1373291,2.8190613,
-2.2334814,89.67699,170.70961,0.19186735,0.1373291,2.8190613,
-2.230323,89.684875,170.9002,0.19186735,0.1373291,2.8190613,
-2.2234502,89.668236,170.4517,0.19186735,0.1373291,2.8190613,
-2.238438,89.669525,170.5479,0.0795722,-0.17166138,-4.547119,
-2.2548466,89.686646,171.03934,0.01168251,-0.118255615,-2.998352,
-2.238033,89.70219,171.37082,0.21022558,0.2822876,6.5956116,
-2.253752,89.68611,171.0326,-0.009655952,0.15258789,3.6888123,
-2.2608645,89.68435,171.01268,-0.009655952,0.15258789,3.6888123,
-2.2405927,89.69766,171.2656,-0.30314922,-0.19073486,-3.540039,
-2.2371094,89.69231,171.11685,0.18703938,0.08773804,1.5296936,
-2.0766516,89.660645,165.87929,0.18703938,0.08773804,1.5296936,
-1.5541389,89.57775,123.20944,0.18703938,0.08773804,1.5296936,
4.0844483,89.56146,86.96027,20.673841,-0.3528595,-100.7328,
19.470793,89.68258,42.59405,19.070625,0.28419495,-60.55355,
22.15439,89.69411,35.55426,19.070625,0.28419495,-60.55355,
30.8712,89.76321,12.555455,8.405685,-0.15258789,-24.501324,
31.82479,89.78249,10.175055,3.7455559,0.19264221,-10.035515,
32.86711,89.79462,7.613568,3.7455559,0.19264221,-10.035515,
33.790333,89.78737,5.503123,1.7766953,-0.4348755,-5.3930283,
34.968563,89.774925,3.0067484,1.7766953,-0.4348755,-5.3930283,
35.891613,89.77297,1.0779066,0.082969666,0.32234192,-1.3696551,
35.906757,89.75412,0.9986823,0.082969666,0.32234192,-1.3696551,
35.891323,89.75925,0.9171314,-0.2784729,-0.53215027,0.7430762,
35.9646,89.81285,0.36517176,0.4644394,-0.019073486,-0.023111701,
35.96964,89.80805,0.36531866,0.4644394,-0.019073486,-0.023111701,
35.99475,89.80007,0.37023056,0.4644394,-0.019073486,-0.023111701,
36.01556,89.79615,0.36975828,-0.12779236,0.25558472,-0.37359446,
36.02132,89.78825,0.37595809,-0.12779236,0.25558472,-0.37359446,
36.032795,89.78488,0.37627012,-0.12779236,0.25558472,-0.37359446,
36.056652,89.79607,0.3533581,-0.3824234,0.2937317,-0.41095167,
36.068302,89.80431,0.33761773,-0.022888184,0.37193298,-0.5164519,
36.151318,89.78998,0.35331938,0.22983551,0.19836426,-0.2734959,
36.15368,89.793304,0.3482081,-0.7324219,-0.22506714,0.31075627,
36.152122,89.793724,0.34725758,-0.7324219,-0.22506714,0.31075627,
36.138992,89.78687,0.35648045,-0.32615662,0.120162964,-0.16560405,
36.1298,89.76863,0.3809729,-0.32615662,0.120162964,-0.16560405,
36.092583,89.75419,0.40064123,0.72956085,0.45394897,-0.6230399,
36.080303,89.76304,0.38846853,-0.38433075,-0.036239624,0.056043267,
36.011246,89.75271,0.4036344,0.08678436,0.0,-9.164214E-4,
35.98443,89.762985,0.38971245,0.08678436,0.0,-9.164214E-4,
35.978767,89.77057,0.37928593,0.032424927,0.06866455,-0.09418279,
35.977837,89.784454,0.35997897,0.032424927,0.06866455,-0.09418279,
35.94072,89.77655,0.37151423,0.032424927,0.06866455,-0.09418279,
