X, Y, Z
-0.29544923,-6.494694,-3.1139266,
-0.27436337,-6.51578,-3.1139266,
-0.29544923,-6.51578,-3.1209555,
-0.23219164,-6.473608,-3.0787835,
-0.21110578,-6.494694,-3.1209555,
-0.2532775,-6.51578,-3.0787835,
-0.23922026,-6.51578,-3.1139266,
-0.27436337,-6.51578,-3.1139266,
-0.27436337,-6.51578,-3.0998695,
-0.23922026,-6.494694,-3.106898,
-0.2532775,-6.51578,-3.0998695,
-0.29544923,-6.51578,-3.1209555,
-0.26030612,-6.4806366,-3.1209555,
-0.2532775,-6.5649805,-3.1139266,
-0.2532775,-6.5228086,-3.071755,
-0.29544923,-6.473608,-3.1139266,
-0.2532775,-6.51578,-3.1560986,
-0.27436337,-6.5368657,-3.0998695,
-0.2532775,-6.51578,-3.1209555,
-0.26733473,-6.51578,-3.0998695,
-0.21110578,-6.51578,-3.0998695,
-0.2532775,-6.4876657,-3.1209555,
-0.2532775,-6.51578,-3.0998695,
-0.2532775,-6.4806366,-3.0998695,
-0.24624889,-6.4876657,-3.071755,
-0.23922026,-6.4806366,-3.0787835,
-0.39384994,-6.51578,-3.0647264,
-0.3797927,-6.494694,-3.0576978,
-0.29544923,-6.3470926,-3.5848444,
-0.3165351,-5.524744,-4.913254,
-0.39384994,-4.695367,-5.9324045,
-0.42899305,-3.6059303,-6.832068,
-0.3868213,-3.423186,-6.867211,
-0.35870683,-3.366957,-6.9023542,
-0.37276408,-3.3950715,-6.9164114,
-0.3797927,-3.3599286,-6.958583,
-0.4149358,-3.3528998,-6.92344,
-0.39384994,-3.3739858,-6.9515543,
-0.40087855,-3.2896423,-6.9796686,
-0.3797927,-3.3528998,-6.9445257,
-0.3516782,-3.4021003,-6.97264,
-0.3516782,-3.3528998,-6.958583,
-0.3516782,-3.310728,-6.958583,
-0.3516782,-3.3177567,-6.9304686,
-0.3797927,-3.366957,-6.958583,
-0.33762094,-3.3458712,-6.9445257,
-0.35870683,-3.4161575,-6.9164114,
-0.33762094,-3.3739858,-6.9164114,
-0.3165351,-3.3739858,-6.937497,
-0.34464958,-3.3810143,-6.9445257,
-0.3165351,-3.3950715,-6.9164114,
-0.34464958,-3.388043,-6.9445257,
-0.3516782,-3.3528998,-6.9445257,
-0.3165351,-3.3810143,-6.8953257,
-0.3165351,-3.3247855,-6.958583,
-0.30247784,-3.2404418,-7.0218406,
-0.3165351,-3.2474706,-7.0077834,
-0.3516782,-3.2896423,-6.9656115,
-0.32356372,-3.2544992,-7.0077834,
-0.33059233,-3.1982703,-7.0077834,
-0.0072757225,-3.1982703,-7.049955,
0.20383005,-3.2896423,-6.9937263,
0.23897314,-3.331814,-6.9796686,
0.24600177,-3.2896423,-6.9937263,
0.2530304,-3.296671,-6.9445257,
0.1897728,-3.3528998,-6.986697,
0.745034,-6.529837,2.734134,
0.4498318,-6.5649805,2.55139,
0.42874596,-6.557952,2.5021894,
0.40063146,-6.5790377,2.4881322,
0.2881735,-6.5790377,2.3545883,
0.23897316,-6.6282377,2.326474,
0.2811449,-6.5860662,2.14373,
0.2530304,-6.670409,2.0734437,
0.1897728,-6.7266383,1.8555562,
0.23194453,-6.740696,1.693898,
0.1897728,-6.7688103,1.58144,
0.21788728,-6.733667,1.5673827,
0.23897314,-6.789896,1.37761,
0.27411625,-6.775839,1.3705814,
0.24600177,-6.789896,1.3284096,
0.260059,-6.8039536,1.2721806,
0.2811449,-6.8039536,1.1808085,
0.21085866,-6.7828674,1.2018944,
0.21085866,-6.7828674,1.17378,
0.2530304,-6.818011,1.1526941,
0.07731484,-6.789896,1.433839,
0.021085866,-6.8039536,1.3916672,
0.07028622,-6.8390965,1.525211,
0.21788728,-6.7196097,2.024243,
0.29520214,-6.7055526,2.0523577,
0.23194453,-6.642295,2.101558,
