Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM, Reg Alfa Rate, Reg Beta Rate
0.0,0.0,0.0,2.2791824,-0.32687378,0.0,0.0,0.0,
0.0,0.0,0.0,2.2577198,-0.34259796,0.0,0.0,0.0,
0.0,0.0,0.0,2.2577198,-0.34259796,0.0,0.0,0.0,
0.0,0.0,0.0,2.2866485,-0.30267334,0.0,0.0,0.0,
0.0,0.0,0.0,2.2715228,-0.30174255,0.0,0.0,0.0,
0.0,0.0,0.0,2.2715228,-0.30174255,0.0,0.0,0.0,
0.0,0.0,0.0,2.259668,-0.2966385,0.0,0.0,0.0,
0.0,0.0,0.0,2.273741,-0.32524872,0.0,0.0,0.0,
0.0,0.0,0.0,2.2761183,-0.30135345,0.0,0.0,0.0,
0.0,0.0,0.0,2.2761183,-0.30135345,0.0,0.0,0.0,
0.0,0.0,0.0,2.2656538,-0.30584717,0.0,0.0,0.0,
0.0,0.0,0.0,2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,2.2563634,-0.30252075,0.0,0.0,0.0,
0.0,0.0,0.0,2.2480364,-0.29756165,0.0,0.0,0.0,
0.0,0.0,0.0,2.2573428,-0.2919922,0.0,0.0,0.0,
0.0,0.0,0.0,2.2517762,-0.2810669,0.0,0.0,0.0,
0.0,0.0,0.0,2.2799852,-0.27697754,0.0,0.0,0.0,
0.0,0.0,0.0,2.2625215,-0.28961182,0.0,0.0,0.0,
0.0,0.0,0.0,2.2636278,-0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,2.266367,-0.32089233,0.0,0.0,0.0,
0.0,0.0,0.0,2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,2.2303224,-0.3407669,0.0,0.0,0.0,
0.0,0.0,0.0,2.2487466,-0.33215332,0.0,0.0,0.0,
0.0,0.0,0.0,2.2601964,-0.32820892,0.0,0.0,0.0,
0.0,0.0,0.0,2.2516375,-0.33390808,0.0,0.0,0.0,
0.0,0.0,0.0,2.2565124,-0.32508087,0.0,0.0,0.0,
0.0,0.0,0.0,2.2448964,-0.34130096,0.0,0.0,0.0,
0.0,0.0,0.0,2.2551389,-0.3394394,0.0,0.0,0.0,
0.0,0.0,0.0,2.2520359,-0.33300018,0.0,0.0,0.0,
0.0,0.0,0.0,2.236035,-0.3309784,0.0,0.0,0.0,
0.0,0.0,0.0,2.2461817,-0.3294983,0.0,0.0,0.0,
0.0,0.0,0.0,2.262706,-0.31929016,0.0,0.0,0.0,
0.0,0.0,0.0,2.261578,-0.32041168,0.0,0.0,0.0,
0.0,0.0,0.0,2.2535927,-0.3249054,0.0,0.0,0.0,
0.0,0.0,0.0,2.253335,-0.32591248,0.0,0.0,0.0,
0.0,0.0,0.0,2.273928,-0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,2.273928,-0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,2.273928,-0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,2.2614324,-0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,2.2614324,-0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,2.2614324,-0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,2.2580464,-0.30155182,0.0,0.0,0.0,
0.0,0.0,0.0,2.2630942,-0.31269073,0.0,0.0,0.0,
0.0,0.0,0.0,2.2630942,-0.31269073,0.0,0.0,0.0,
0.0,0.0,0.0,2.2578754,-0.31802368,0.0,0.0,0.0,
0.0,0.0,0.0,2.2531877,-0.31401062,0.0,0.0,0.0,
0.0,0.0,0.0,2.2211926,-0.30876923,0.0,0.0,0.0,
0.0,0.0,0.0,2.2416942,-0.3142929,0.0,0.0,0.0,
0.0,0.0,0.0,2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,2.241502,-0.33244324,0.0,0.0,0.0,
0.0,0.0,0.0,2.241502,-0.33244324,0.0,0.0,0.0,
0.0,0.0,0.0,2.2351925,-0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,2.2351925,-0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,2.224956,-0.30876923,0.0,0.0,0.0,
0.0,0.0,0.0,2.2394314,-0.32422638,0.0,0.0,0.0,
0.0,0.0,0.0,2.2394314,-0.32422638,0.0,0.0,0.0,
0.0,0.0,0.0,2.242091,-0.29657745,0.0,0.0,0.0,
0.0,0.0,0.0,2.2519672,-0.29039764,0.0,0.0,0.0,
0.0,0.0,0.0,2.245455,-0.30070496,0.0,0.0,0.0,
0.0,0.0,0.0,2.245455,-0.30070496,0.0,0.0,0.0,
