X, Y, Z, Dlugosc wektora
-0.040666666,0.006615111,1.0263182,1.0252331,
-0.041317333,0.0076995553,1.0244746,1.0246671,
-0.041317333,0.0076995553,1.0244746,1.0234443,
-0.04077511,0.0050968886,1.0223057,1.0232273,
-0.041859556,0.0067235553,1.0244747,1.0254221,
-0.041859556,0.0067235553,1.0244747,1.0250726,
-0.041859556,0.0067235553,1.0244747,1.0238658,
-0.041859556,0.0067235553,1.0244747,1.0257465,
-0.039582223,0.007265778,1.023824,1.0250993,
-0.039582223,0.007265778,1.023824,1.0217108,
-0.039582223,0.007265778,1.023824,1.0255308,
-0.039582223,0.007265778,1.023824,1.0232351,
-0.039582223,0.007265778,1.023824,1.024711,
-0.03925689,0.006181333,1.0241493,1.0266527,
-0.038714666,0.0049884445,1.0261014,1.0260035,
-0.038714666,0.0049884445,1.0261014,1.0236958,
-0.04023289,0.005856,1.0255591,1.0282019,
-0.03979911,0.0074826665,1.0236071,1.0251763,
-0.041425776,0.005856,1.0264267,1.0253857,
-0.040341333,0.006832,1.0261014,1.0263715,
-0.040449776,0.008892444,1.0265352,1.0265803,
-0.041425776,0.006289778,1.022631,1.0233797,
-0.042401776,0.002928,1.0251254,1.0252599,
-0.041317333,0.007591111,1.0227395,1.0362484,
0.10117867,0.007265778,0.91863286,1.1346365,
0.10117867,0.007265778,0.91863286,1.0341341,
0.593408,0.002711111,0.80064535,1.0069343,
0.593408,0.002711111,0.80064535,1.0063729,
0.593408,0.002711111,0.80064535,1.0031697,
0.5847325,0.004337778,0.81994843,1.0080811,
0.5900462,0.002711111,0.8152853,1.0080613,
0.5900462,0.002711111,0.8152853,1.0059185,
0.5900462,0.002711111,0.8152853,1.0023354,
0.5900462,0.002711111,0.8152853,1.0054768,
0.59069693,0.003904,0.81409246,1.0013831,
0.59069693,0.003904,0.81409246,1.0055597,
0.59069693,0.003904,0.81409246,1.0044593,
0.5941671,0.0041208887,0.81094754,1.0051682,
0.5941671,0.0041208887,0.81094754,1.0050355,
0.59709513,0.003144889,0.80693513,1.0033387,
0.5937333,0.0060728886,0.8086702,1.0027497,
0.5937333,0.0060728886,0.8086702,1.0027777,
0.5937333,0.0060728886,0.8086702,1.0063144,
0.5922151,0.0026026666,0.8062844,1.0087268,
0.5936249,0.0041208887,0.81192356,1.0045733,
0.5936249,0.0041208887,0.81192356,1.0030001,
0.59297425,0.0015182222,0.80942935,1.004122,
0.59297425,0.0015182222,0.80942935,1.0018934,
0.589504,0.00488,0.81365865,1.0031892,
0.58841956,0.005313778,0.81008,1.0032909,
0.58841956,0.005313778,0.81008,1.0031296,
0.5900462,0.0033617776,0.81159824,1.0037842,
0.5900462,0.0033617776,0.81159824,1.0034704,
0.5900462,0.0033617776,0.81159824,1.0053495,
0.5850578,0.003687111,0.81799644,1.0032603,
0.58625066,0.003904,0.813008,1.0027678,
0.5853831,0.003144889,0.81181514,1.0016594,
0.5853831,0.003144889,0.81181514,1.0045589,
0.5853831,0.003144889,0.81181514,1.0066997,
0.59048,0.0035786666,0.8151769,1.0055915,
0.58375645,8.6755556E-4,0.81387556,1.0077842,
0.58375645,8.6755556E-4,0.81387556,1.0048871,
0.5825636,0.005856,0.8197316,1.0022315,
0.5825636,0.005856,0.8197316,0.99850214,
0.5964444,0.0037955556,0.808128,1.0029184,
0.60164976,0.004337778,0.80270576,1.0033162,
0.61032534,0.006615111,0.7995609,1.0055598,
0.61737424,6.5066665E-4,0.78947556,0.9983714,
0.61737424,6.5066665E-4,0.78947556,1.0054313,
0.59687823,0.0040124445,0.80313957,1.0024823,
0.5940587,0.004446222,0.81344175,1.0055907,
0.5954684,0.005313778,0.8171289,1.0116308,
0.5975289,0.006615111,0.8075858,1.0012761,
0.5970951,0.0059644445,0.80747736,1.004071,
0.593408,0.005856,0.81452626,1.0019397,
0.593408,0.005856,0.81452626,1.0044528,
0.593408,0.005856,0.81452626,1.0065937,
0.593408,0.005856,0.81452626,1.0046124,
0.5926489,0.006615111,0.8099716,1.0059676,
0.5960106,0.005856,0.8073689,1.0034758,
0.6003485,0.004663111,0.80194664,1.0067811,
0.6003485,0.004663111,0.80194664,1.3329369,
-0.4140409,-0.018110221,0.6987076,1.0585151,
-0.7844871,0.054439113,0.71529955,1.0560966,
-0.7844871,0.054439113,0.71529955,1.0302019,
-0.74176,0.055415113,0.7459893,1.0459976,
-0.7403502,0.051619556,0.74674845,1.060673,
-0.7403502,0.051619556,0.74674845,1.060489,
-0.70890135,0.05736711,0.7881742,1.0759,
-0.61704886,0.08859911,0.8397938,1.0646818,
-0.6233387,0.07395911,0.8416373,1.0385399,
-0.59080535,0.08708089,0.8351307,1.029442,
-0.59080535,0.08708089,0.8351307,1.0549046,
-0.59080535,0.08708089,0.8351307,1.0765558,
-0.66237867,0.065392,0.82070756,1.0499039,
-0.69718933,0.054547556,0.7741849,1.0390013,
-0.71139556,0.06723556,0.78090847,1.0651013,
-0.7342773,0.07005511,0.7858969,1.0756783,
-0.7342773,0.07005511,0.7858969,1.0474064,
-0.71313065,0.08317689,0.77331734,1.0575548,
-0.71313065,0.08317689,0.77331734,1.0662692,
-0.71107024,0.074392885,0.7695218,1.07664,
-0.71107024,0.074392885,0.7695218,1.0601764,
-0.7004427,0.113975115,0.8332871,1.0955931,
-0.6768018,0.106926225,0.789584,1.0451465,
-0.6768018,0.106926225,0.789584,1.0586745,
-0.6768018,0.106926225,0.789584,1.0457752,
-0.6768018,0.106926225,0.789584,1.0359055,
-0.67062044,0.12850666,0.798368,1.0540875,
-0.6719218,0.13685688,0.79771733,1.0578732,
-0.6856942,0.14661689,0.7945724,1.0592287,
-0.6766933,0.14043555,0.7773298,1.0340142,
-0.6766933,0.14043555,0.7773298,1.069527,
-0.6832,0.12709689,0.78231823,1.0500997,
-0.6894898,0.132736,0.7761369,1.0412166,
-0.6785369,0.12839822,0.77798045,1.056169,
-0.6832,0.13338667,0.78708977,1.0544811,
-0.67528355,0.13761601,0.77169067,1.0403948,
-0.67528355,0.13761601,0.77169067,1.0523739,
-0.67528355,0.13761601,0.77169067,1.0454863,
-0.67528355,0.13761601,0.77169067,1.0605826,
-0.68894756,0.133712,0.78459555,1.0453732,
-0.68406755,0.1344711,0.78394485,1.0492225,
-0.68406755,0.1344711,0.78394485,1.0465798,
-0.68406755,0.1344711,0.78394485,1.0850312,
-0.68406755,0.1344711,0.78394485,1.0548068,
