Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM, Reg Alfa Rate, Reg Beta Rate
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,-2.254284,0.3382721,0.0,0.0,0.0,
0.0,0.0,0.0,-2.254284,0.3382721,0.0,0.0,0.0,
0.0,0.0,0.0,-2.251568,0.33772278,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2866485,0.30267334,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2715228,0.30174255,0.0,0.0,0.0,
0.0,0.0,0.0,-2.259668,0.2966385,0.0,0.0,0.0,
0.0,0.0,0.0,-2.259668,0.2966385,0.0,0.0,0.0,
0.0,0.0,0.0,-2.259668,0.2966385,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273741,0.32524872,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2761183,0.30135345,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2656538,0.30584717,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2738426,0.2993164,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2563634,0.30252075,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2492826,0.29597473,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2480364,0.29756165,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2517762,0.2810669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2517762,0.2810669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2625215,0.28961182,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2636278,0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2636278,0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2525368,0.30158234,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2482328,0.29850006,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2482328,0.29850006,0.0,0.0,0.0,
0.0,0.0,0.0,-2.266367,0.32089233,0.0,0.0,0.0,
0.0,0.0,0.0,-2.266367,0.32089233,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2303224,0.3407669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2487466,0.33215332,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2601964,0.32820892,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2483642,0.33007812,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2516375,0.33390808,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2516375,0.33390808,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2565124,0.32508087,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2448964,0.34130096,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2551389,0.3394394,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2520359,0.33300018,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2520359,0.33300018,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2461817,0.3294983,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2461817,0.3294983,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2461817,0.3294983,0.0,0.0,0.0,
0.0,0.0,0.0,-2.262706,0.31929016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.25671,0.32015228,0.0,0.0,0.0,
0.0,0.0,0.0,-2.261578,0.32041168,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2535927,0.3249054,0.0,0.0,0.0,
0.0,0.0,0.0,-2.253335,0.32591248,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273928,0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273928,0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2614324,0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2614324,0.30361176,0.0,0.0,0.0,
