Alfa, Beta, Gamma
-31.67966,56.537273,90.281525,
-30.86758,49.04477,97.183754,
-30.86758,49.04477,97.183754,
-31.71567,42.43064,101.68688,
-31.71567,42.43064,101.68688,
-30.806957,33.984783,104.392586,
-30.806957,33.984783,104.392586,
-30.806957,33.984783,104.392586,
-16.342083,30.63664,97.61699,
6.298294,31.7201,83.77328,
6.298294,31.7201,83.77328,
6.298294,31.7201,83.77328,
6.298294,31.7201,83.77328,
19.170927,32.374283,74.68337,
19.170927,32.374283,74.68337,
37.29915,32.46089,61.835686,
37.29915,32.46089,61.835686,
44.774216,31.868645,56.421772,
44.774216,31.868645,56.421772,
48.893578,31.340265,53.600193,
48.893578,31.340265,53.600193,
52.21387,58.219223,26.518045,
52.21387,58.219223,26.518045,
51.942657,88.687325,1.3327056,
52.222805,116.031044,-21.572906,
52.025097,122.62208,-27.482458,
52.025097,122.62208,-27.482458,
36.89394,124.27489,-45.678005,
36.89394,124.27489,-45.678005,
12.198112,118.9581,-81.904495,
12.198112,118.9581,-81.904495,
-5.710893,116.56744,-106.62171,
-5.710893,116.56744,-106.62171,
-44.271427,112.25695,-153.99063,
-44.271427,112.25695,-153.99063,
-47.03033,110.80304,-157.98619,
-49.121784,108.84207,-161.63248,
-49.121784,108.84207,-161.63248,
-49.121784,108.84207,-161.63248,
-45.81565,89.88999,18.135605,
-45.81565,89.88999,18.135605,
-41.034466,55.995712,95.734375,
-36.090317,40.79997,103.27365,
-36.090317,40.79997,103.27365,
-34.619328,34.28656,107.74565,
-34.619328,34.28656,107.74565,
10.608987,31.575008,82.34073,
10.608987,31.575008,82.34073,
21.60711,31.553259,74.69442,
29.972128,31.526714,68.84352,
29.972128,31.526714,68.84352,
39.022125,31.355623,62.6297,
39.022125,31.355623,62.6297,
38.291817,77.343025,13.522137,
38.12242,101.16424,-14.282438,
38.12242,101.16424,-14.282438,
37.773632,118.72252,-34.749714,
37.549763,121.45617,-38.098984,
37.549763,121.45617,-38.098984,
37.282745,125.01695,-42.376415,
25.240196,121.02415,-56.549713,
25.240196,121.02415,-56.549713,
-12.069282,111.32044,-119.18239,
-23.417917,108.843376,-135.24706,
-23.417917,108.843376,-135.24706,
-31.322256,106.90954,-146.01588,
-40.947655,97.22484,-122.46385,
-39.344837,40.737003,111.95146,
-39.344837,40.737003,111.95146,
-39.344837,40.737003,111.95146,
-37.199493,38.08047,112.05756,
-37.199493,38.08047,112.05756,
-37.199493,38.08047,112.05756,
-7.5348325,40.76473,93.26237,
-7.5348325,40.76473,93.26237,
4.70928,41.64157,83.36252,
4.70928,41.64157,83.36252,
28.030308,43.86329,61.475,
42.20516,85.71798,3.9358125,
42.20516,85.71798,3.9358125,
38.033657,95.01965,-9.815402,
38.033657,95.01965,-9.815402,
30.953974,102.20915,-26.18825,
30.953974,102.20915,-26.18825,
30.953974,102.20915,-26.18825,
14.991478,111.1156,-59.392582,
14.991478,111.1156,-59.392582,
-6.2409906,115.40451,-98.845764,
-6.2409906,115.40451,-98.845764,
-11.014086,116.42026,-107.577446,
-11.014086,116.42026,-107.577446,
-12.277683,95.169174,-18.35697,
-12.277683,95.169174,-18.35697,
-17.158276,45.467186,77.66823,
-17.158276,45.467186,77.66823,
-20.73627,33.78732,90.42142,
-20.73627,33.78732,90.42142,
-20.73627,33.78732,90.42142,
-21.61314,28.580688,95.99349,
-21.61314,28.580688,95.99349,
-21.61314,28.580688,95.99349,
-21.850311,27.178051,97.61043,
-21.850311,27.178051,97.61043,
9.533453,37.91913,73.497826,
9.533453,37.91913,73.497826,
9.533453,37.91913,73.497826,
38.13504,61.008636,33.61951,
49.309128,78.00459,12.522329,
49.309128,78.00459,12.522329,
50.950935,81.51444,8.697109,
53.0155,89.12929,1.3949157,
53.0155,89.12929,1.3949157,
47.240288,89.31107,1.9336671,
47.240288,89.31107,1.9336671,
26.03843,87.77776,32.285793,
26.03843,87.77776,32.285793,
26.03843,87.77776,32.285793,
8.297918,84.725975,75.08173,
8.297918,84.725975,75.08173,
-25.268522,76.62212,124.32995,
-44.82148,67.13602,145.11603,
-44.82148,67.13602,145.11603,
-58.75651,32.265087,133.48389,
-58.75651,32.265087,133.48389,
-57.711662,28.54636,128.86357,
-57.711662,28.54636,128.86357,
-57.142933,24.591269,124.41267,
-57.142933,24.591269,124.41267,
-47.276585,22.59948,115.989655,
-47.276585,22.59948,115.989655,
-29.855457,22.9765,106.06773,
-29.855457,22.9765,106.06773,
-29.855457,22.9765,106.06773,
43.702583,50.73097,37.46773,
43.702583,50.73097,37.46773,
31.676334,72.0584,14.254737,
31.676334,72.0584,14.254737,
-14.936964,90.92455,-70.95326,
-14.936964,90.92455,-70.95326,
-14.936964,90.92455,-70.95326,
-16.833803,86.55489,42.423573,
-7.5794024,85.91232,48.636627,
-6.290961,87.67673,7.419802,
-6.290961,87.67673,7.419802,
-6.290961,87.67673,7.419802,
-6.290961,87.67673,7.419802,
-5.1197414,88.385735,4.92455,
-3.7734315,89.27752,41.942497,
-3.7734315,89.27752,41.942497,
-3.1889324,89.71599,35.414696,
-3.1889324,89.71599,35.414696,
-3.1889324,89.71599,35.414696,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-3.0252345,89.8686,17.486784,
-2.9749541,89.92094,12.300991,
-2.860406,89.99655,2.0381932,
-2.860406,89.99655,2.0381932,
-2.8103175,90.029015,7.3044744,
-2.8134813,90.01611,43.049263,
-2.8134813,90.01611,43.049263,
-2.814934,90.01362,48.61318,
-2.814934,90.01362,48.61318,
-2.8145938,90.02154,18.59936,
-2.8145938,90.02154,18.59936,
-2.8209944,90.03467,2.6658268,
