Alfa, Beta, Gamma
-3.0619628,89.92422,97.00698,
-3.0820763,89.92242,99.00892,
-3.0820763,89.92242,99.00892,
-3.0911725,89.939384,95.077614,
-3.1165662,89.92044,90.555,
-3.0858598,89.905495,65.86113,
-3.048224,89.910904,61.0125,
-3.048224,89.910904,61.0125,
-3.0517914,89.93227,62.04732,
-3.0517914,89.93227,62.04732,
-3.0570424,89.92215,94.60637,
-3.0570424,89.92215,94.60637,
-3.0359,89.92522,113.26643,
-2.5435903,89.85284,95.592064,
3.9731026,89.932846,62.999474,
3.9731026,89.932846,62.999474,
12.385079,89.91911,42.2522,
36.507824,90.0222,8.307679,
36.507824,90.0222,8.307679,
39.427643,90.07843,5.6722026,
39.427643,90.07843,5.6722026,
44.383915,90.15149,2.4402175,
39.859924,92.45796,-2.3167846,
7.865595,93.62665,-74.71785,
7.865595,93.62665,-74.71785,
7.865595,93.62665,-74.71785,
-8.730218,93.57378,-109.09758,
-21.839338,92.774216,-106.828606,
-21.839338,92.774216,-106.828606,
-21.839338,92.774216,-106.828606,
-31.689083,91.47662,-36.77041,
-31.689083,91.47662,-36.77041,
-39.453785,88.37383,33.734406,
-39.453785,88.37383,33.734406,
-39.453785,88.37383,33.734406,
-39.453785,88.37383,33.734406,
-44.597313,81.95747,78.16667,
-44.597313,81.95747,78.16667,
-44.597336,72.76502,100.09645,
-44.597336,72.76502,100.09645,
-44.597336,72.76502,100.09645,
-42.403908,64.82242,109.364944,
-42.403908,64.82242,109.364944,
-42.403908,64.82242,109.364944,
-5.5850663,32.55717,93.988976,
-5.5850663,32.55717,93.988976,
7.610191,29.283588,87.4658,
7.610191,29.283588,87.4658,
41.983,59.78971,31.140625,
41.983,59.78971,31.140625,
38.91921,81.07573,7.742151,
38.91921,81.07573,7.742151,
35.09858,100.375336,-17.504862,
31.89918,107.5174,-29.12713,
12.25922,122.53526,-68.663284,
12.25922,122.53526,-68.663284,
-15.63249,121.53843,-110.90398,
-15.63249,121.53843,-110.90398,
-15.63249,121.53843,-110.90398,
-26.669949,119.3007,-126.89888,
-26.669949,119.3007,-126.89888,
-36.588844,115.93031,-140.85046,
-42.860218,111.59393,-151.20874,
-42.860218,111.59393,-151.20874,
-42.860218,111.59393,-151.20874,
-34.869366,75.76568,57.988842,
-34.869366,75.76568,57.988842,
-32.98623,65.77643,78.16799,
