Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,3.0710988,0.08302307,0.0,
0.0,0.0,0.0,3.0516615,0.10374451,0.0,
0.0,0.0,0.0,3.0516615,0.10374451,0.0,
0.0,0.0,0.0,3.0516615,0.10374451,0.0,
0.0,0.0,0.0,3.0552864,0.068603516,0.0,
0.0,0.0,0.0,3.0552864,0.068603516,0.0,
0.0,0.0,0.0,-6.3135037,0.06452179,0.0,
0.0,0.0,0.0,-6.3135037,0.06452179,0.0,
0.0,0.0,0.0,-14.480298,0.07115173,0.0,
0.0,0.0,0.0,-33.4149,0.008041382,0.0,
0.0,0.0,0.0,-33.4149,0.008041382,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,-40.54345,-0.09757233,0.0,
0.0,0.0,0.0,13.749688,-3.3229752,0.0,
0.0,0.0,0.0,13.749688,-3.3229752,0.0,
0.0,0.0,0.0,41.044353,28.365353,0.0,
0.0,0.0,0.0,41.044353,28.365353,0.0,
0.0,0.0,0.0,41.044353,28.365353,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,12.804351,54.13321,0.0,
0.0,0.0,0.0,-10.957742,61.378105,0.0,
0.0,0.0,0.0,-38.844635,59.834667,0.0,
0.0,0.0,0.0,-38.844635,59.834667,0.0,
0.0,0.0,0.0,-38.844635,59.834667,0.0,
0.0,0.0,0.0,-43.840664,51.178715,0.0,
0.0,0.0,0.0,-43.840664,51.178715,0.0,
0.0,0.0,0.0,-43.840664,51.178715,0.0,
0.0,0.0,0.0,-41.446518,27.214863,0.0,
0.0,0.0,0.0,-41.446518,27.214863,0.0,
0.0,0.0,0.0,-41.446518,27.214863,0.0,
0.0,0.0,0.0,-41.446518,27.214863,0.0,
0.0,0.0,0.0,-41.446518,27.214863,0.0,
0.0,0.0,0.0,-34.488785,-12.311676,0.0,
0.0,0.0,0.0,-34.488785,-12.311676,0.0,
0.0,0.0,0.0,-31.246098,-19.467537,0.0,
0.0,0.0,0.0,-31.246098,-19.467537,0.0,
0.0,0.0,0.0,-31.246098,-19.467537,0.0,
0.0,0.0,0.0,-31.246098,-19.467537,0.0,
0.0,0.0,0.0,-31.246098,-19.467537,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,-9.650639,-32.958214,0.0,
0.0,0.0,0.0,39.006878,-24.287392,0.0,
0.0,0.0,0.0,39.006878,-24.287392,0.0,
