Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM
0.0,0.0,0.0,-3.0710988,-0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,-0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,-0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,-0.08302307,0.0,
0.0,0.0,0.0,-3.0965607,-0.060142517,0.0,
0.0,0.0,0.0,-3.0965607,-0.060142517,0.0,
0.0,0.0,0.0,-3.0516615,-0.10374451,0.0,
0.0,0.0,0.0,-3.0417366,-0.08565521,0.0,
0.0,0.0,0.0,-1.3886144,-0.049942017,0.0,
0.0,0.0,0.0,-1.3886144,-0.049942017,0.0,
0.0,0.0,0.0,6.3135037,-0.06452179,0.0,
0.0,0.0,0.0,6.3135037,-0.06452179,0.0,
0.0,0.0,0.0,6.3135037,-0.06452179,0.0,
0.0,0.0,0.0,14.480298,-0.07115173,0.0,
0.0,0.0,0.0,14.480298,-0.07115173,0.0,
0.0,0.0,0.0,37.441753,0.04437256,0.0,
0.0,0.0,0.0,37.441753,0.04437256,0.0,
0.0,0.0,0.0,37.441753,0.04437256,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,40.54345,0.09757233,0.0,
0.0,0.0,0.0,-13.749688,3.3229752,0.0,
0.0,0.0,0.0,-13.749688,3.3229752,0.0,
0.0,0.0,0.0,-34.685043,0.67009735,0.0,
0.0,0.0,0.0,-34.685043,0.67009735,0.0,
0.0,0.0,0.0,-34.685043,0.67009735,0.0,
0.0,0.0,0.0,-34.685043,0.67009735,0.0,
0.0,0.0,0.0,-12.804351,-54.13321,0.0,
0.0,0.0,0.0,-12.804351,-54.13321,0.0,
0.0,0.0,0.0,10.957742,-61.378105,0.0,
0.0,0.0,0.0,10.957742,-61.378105,0.0,
0.0,0.0,0.0,38.844635,-59.834667,0.0,
0.0,0.0,0.0,43.840664,-51.178715,0.0,
0.0,0.0,0.0,41.446518,-27.214863,0.0,
0.0,0.0,0.0,41.446518,-27.214863,0.0,
0.0,0.0,0.0,39.528557,-15.50676,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,9.650639,32.958214,0.0,
0.0,0.0,0.0,-39.006878,24.287392,0.0,
0.0,0.0,0.0,-39.006878,24.287392,0.0,
0.0,0.0,0.0,-12.581405,-59.046837,0.0,
0.0,0.0,0.0,11.739458,-58.16867,0.0,
0.0,0.0,0.0,11.739458,-58.16867,0.0,
0.0,0.0,0.0,11.739458,-58.16867,0.0,
0.0,0.0,0.0,11.739458,-58.16867,0.0,
0.0,0.0,0.0,11.739458,-58.16867,0.0,
0.0,0.0,0.0,32.682755,-57.212536,0.0,
0.0,0.0,0.0,32.682755,-57.212536,0.0,
0.0,0.0,0.0,46.06712,-58.311577,0.0,
0.0,0.0,0.0,46.06712,-58.311577,0.0,
0.0,0.0,0.0,53.88059,-57.160614,0.0,
0.0,0.0,0.0,53.88059,-57.160614,0.0,
0.0,0.0,0.0,53.88059,-57.160614,0.0,
0.0,0.0,0.0,53.88059,-57.160614,0.0,
0.0,0.0,0.0,53.88059,-57.160614,0.0,
0.0,0.0,0.0,51.870026,-26.826057,0.0,
0.0,0.0,0.0,51.870026,-26.826057,0.0,
0.0,0.0,0.0,52.225796,27.570969,0.0,
0.0,0.0,0.0,52.225796,27.570969,0.0,
0.0,0.0,0.0,51.986797,34.161148,0.0,
0.0,0.0,0.0,51.986797,34.161148,0.0,
0.0,0.0,0.0,51.986797,34.161148,0.0,
0.0,0.0,0.0,-35.669243,23.308182,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-41.443115,23.104736,0.0,
0.0,0.0,0.0,-49.62153,18.03366,0.0,
0.0,0.0,0.0,-37.635517,-45.06703,0.0,
0.0,0.0,0.0,-37.635517,-45.06703,0.0,
0.0,0.0,0.0,-37.635517,-45.06703,0.0,
0.0,0.0,0.0,-37.635517,-45.06703,0.0,
0.0,0.0,0.0,-37.635517,-45.06703,0.0,
0.0,0.0,0.0,-34.860016,-54.183403,0.0,
0.0,0.0,0.0,-34.860016,-54.183403,0.0,
0.0,0.0,0.0,-34.860016,-54.183403,0.0,
0.0,0.0,0.0,-33.737534,-55.822353,0.0,
0.0,0.0,0.0,-33.737534,-55.822353,0.0,
0.0,0.0,0.0,1.0565315,-58.28537,0.0,
0.0,0.0,0.0,1.0565315,-58.28537,0.0,
0.0,0.0,0.0,1.0565315,-58.28537,0.0,
0.0,0.0,0.0,24.20008,-58.537136,0.0,
0.0,0.0,0.0,37.022964,-58.94575,0.0,
0.0,0.0,0.0,39.660816,-58.507378,0.0,
0.0,0.0,0.0,39.660816,-58.507378,0.0,
0.0,0.0,0.0,38.338993,-22.886024,0.0,
0.0,0.0,0.0,38.338993,-22.886024,0.0,
0.0,0.0,0.0,38.004333,-9.186813,0.0,
0.0,0.0,0.0,38.004333,-9.186813,0.0,
0.0,0.0,0.0,38.004333,-9.186813,0.0,
0.0,0.0,0.0,38.03879,13.721123,0.0,
0.0,0.0,0.0,38.03879,13.721123,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,37.99816,21.076881,0.0,
0.0,0.0,0.0,-2.415313,23.656937,0.0,
0.0,0.0,0.0,-39.781334,1.2916489,0.0,
0.0,0.0,0.0,-39.781334,1.2916489,0.0,
0.0,0.0,0.0,-35.50541,-12.914001,0.0,
0.0,0.0,0.0,-35.50541,-12.914001,0.0,
0.0,0.0,0.0,-39.91366,-33.70501,0.0,
0.0,0.0,0.0,-39.91366,-33.70501,0.0,
0.0,0.0,0.0,-40.000256,-41.320885,0.0,
0.0,0.0,0.0,-40.387405,-46.316914,0.0,
0.0,0.0,0.0,-40.387405,-46.316914,0.0,
0.0,0.0,0.0,-36.82929,-52.580364,0.0,
0.0,0.0,0.0,-36.82929,-52.580364,0.0,
0.0,0.0,0.0,-32.430923,-53.727943,0.0,
0.0,0.0,0.0,-32.430923,-53.727943,0.0,
0.0,0.0,0.0,22.789408,-47.53933,0.0,
0.0,0.0,0.0,37.94391,-39.094193,0.0,
0.0,0.0,0.0,37.94391,-39.094193,0.0,
0.0,0.0,0.0,41.120605,-2.0419388,0.0,
0.0,0.0,0.0,27.97614,14.418869,0.0,
0.0,0.0,0.0,27.97614,14.418869,0.0,
0.0,0.0,0.0,-1.5075179,24.469963,0.0,
0.0,0.0,0.0,-1.5075179,24.469963,0.0,
0.0,0.0,0.0,-14.374921,27.357788,0.0,
0.0,0.0,0.0,-14.374921,27.357788,0.0,
0.0,0.0,0.0,-14.374921,27.357788,0.0,
0.0,0.0,0.0,-14.374921,27.357788,0.0,
0.0,0.0,0.0,-12.793971,-20.923637,0.0,
0.0,0.0,0.0,-12.793971,-20.923637,0.0,
0.0,0.0,0.0,-17.901293,-46.604492,0.0,
0.0,0.0,0.0,-17.901293,-46.604492,0.0,
0.0,0.0,0.0,-20.196148,-53.164185,0.0,
0.0,0.0,0.0,-20.196148,-53.164185,0.0,
0.0,0.0,0.0,-21.107973,-57.325867,0.0,
0.0,0.0,0.0,-21.107973,-57.325867,0.0,
0.0,0.0,0.0,-21.726011,-61.80361,0.0,
0.0,0.0,0.0,-22.139872,-63.118713,0.0,
0.0,0.0,0.0,-22.139872,-63.118713,0.0,
0.0,0.0,0.0,-22.139872,-63.118713,0.0,
0.0,0.0,0.0,-22.139872,-63.118713,0.0,
0.0,0.0,0.0,44.513798,-20.165268,0.0,
0.0,0.0,0.0,44.513798,-20.165268,0.0,
0.0,0.0,0.0,44.513798,-20.165268,0.0,
0.0,0.0,0.0,44.513798,-20.165268,0.0,
