X, Y, Z, Dlugosc wektora
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
0.0,0.0,0.0,1.0433679,
-0.049884442,0.0030364443,1.0398738,1.0403191,
-0.049884442,0.0030364443,1.0398738,1.0403191,
-0.049884442,0.0030364443,1.0398738,1.0403191,
-0.048908442,0.0014097778,1.0405245,1.0816462,
0.4532978,-0.016049778,0.90952355,1.0012976,
0.4532978,-0.016049778,0.90952355,1.0012976,
0.7618222,-0.055198222,0.7062987,1.0375285,
0.7618222,-0.055198222,0.7062987,1.0375285,
0.7618222,-0.055198222,0.7062987,1.039729,
0.7618222,-0.055198222,0.7062987,1.039729,
0.7618222,-0.055198222,0.7062987,1.039729,
-0.012904888,0.85812086,0.5672729,1.046593,
-0.012904888,0.85812086,0.5672729,1.046593,
-0.012904888,0.85812086,0.5672729,1.046593,
-0.61726576,0.6895982,0.40536535,1.0145689,
-0.72440886,0.68699557,0.34929955,1.0397096,
-0.72440886,0.68699557,0.34929955,1.0397096,
-0.740784,0.6576071,0.30321068,1.0467848,
0.27306312,0.81355023,0.6184587,1.0213907,
0.34908265,0.7637742,0.5467769,0.988759,
0.34908265,0.7637742,0.5467769,0.988759,
0.34908265,0.7637742,0.5467769,0.988759,
0.4868071,0.7147573,0.447984,1.0148338,
0.69382757,0.54742754,0.5110987,1.0375124,
0.55230755,-0.18001778,0.82894933,0.9890078,
0.55230755,-0.18001778,0.82894933,0.9890078,
0.55230755,-0.18001778,0.82894933,1.0171461,
0.3501671,-0.43974224,0.8703751,1.0311111,
0.3501671,-0.43974224,0.8703751,1.0311111,
0.3501671,-0.43974224,0.8703751,1.0372696,
0.3501671,-0.43974224,0.8703751,1.0372696,
0.3501671,-0.43974224,0.8703751,1.0593402,
-0.022556445,-0.58147913,0.8633262,1.0320383,
-0.022556445,-0.58147913,0.8633262,1.0320383,
-0.068536885,-0.51055646,0.8241778,0.96653295,
-0.068536885,-0.51055646,0.8241778,1.0979459,
-0.068536885,-0.51055646,0.8241778,1.0979459,
-0.068536885,-0.51055646,0.8241778,1.0480646,
-0.068536885,-0.51055646,0.8241778,1.0480646,
-0.068536885,-0.51055646,0.8241778,1.0480646,
-0.068536885,-0.51055646,0.8241778,1.0480646,
-0.7316747,0.3638311,0.59481776,0.98688453,
-0.7316747,0.3638311,0.59481776,0.98688453,
-0.77353424,0.45687646,0.5312693,1.095605,
-0.77353424,0.45687646,0.5312693,1.095605,
-0.77353424,0.45687646,0.5312693,1.095605,
-0.5225938,0.68797153,0.49157867,1.0198404,
-0.44169423,0.8170205,0.46012977,1.0366429,
-0.44169423,0.8170205,0.46012977,1.0366429,
-0.09738311,0.84879464,0.6208445,0.9695085,
-0.09738311,0.84879464,0.6208445,0.9695085,
-0.09738311,0.84879464,0.6208445,0.9695085,
0.26623112,0.88100266,0.51077336,1.0434333,
0.26623112,0.88100266,0.51077336,1.0344989,
0.26623112,0.88100266,0.51077336,1.0344989,
0.3726151,0.84087825,0.44473067,0.9806689,
0.3726151,0.84087825,0.44473067,0.9806689,
0.3726151,0.84087825,0.44473067,0.9806689,
0.3726151,0.84087825,0.44473067,0.9806689,
0.3726151,0.84087825,0.44473067,1.0010593,
0.3726151,0.84087825,0.44473067,1.0010593,
0.3726151,0.84087825,0.44473067,1.0010593,
0.3726151,0.84087825,0.44473067,0.93218464,
0.6365689,0.6878631,0.368928,1.0100926,
0.6365689,0.6878631,0.368928,1.1081554,
0.69371915,0.20539378,0.8190809,0.9457913,
0.69371915,0.20539378,0.8190809,1.0321977,
0.69371915,0.20539378,0.8190809,1.0321977,
0.69371915,0.20539378,0.8190809,1.041558,
0.69371915,0.20539378,0.8190809,1.041558,
0.69371915,0.20539378,0.8190809,1.041558,
0.35081777,-0.32771912,0.88935286,1.0252489,
0.35081777,-0.32771912,0.88935286,1.0252489,
0.35081777,-0.32771912,0.88935286,1.0252489,
0.35081777,-0.32771912,0.88935286,1.0252489,
0.35081777,-0.32771912,0.88935286,1.0607117,
0.35081777,-0.32771912,0.88935286,1.0807515,
0.35081777,-0.32771912,0.88935286,1.0807515,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
-0.3148142,0.6965387,0.7497849,1.1007448,
0.13306133,0.9084391,0.5108818,1.0605605,
0.189344,0.8196231,0.55187374,0.9976863,
0.189344,0.8196231,0.55187374,0.9976863,
0.2188409,0.7842702,0.61748266,1.0307467,
0.2188409,0.7842702,0.61748266,1.0307467,
0.2188409,0.7842702,0.61748266,1.0307467,
