Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.814518,-0.12700653,0.0,
0.0,0.0,0.0,-2.75794,-0.10954285,0.0,
0.0,0.0,0.0,-2.75794,-0.10954285,0.0,
0.0,0.0,0.0,-2.75794,-0.10954285,0.0,
0.0,0.0,0.0,5.4779305,-0.0766983,0.0,
0.0,0.0,0.0,15.034188,0.36605835,0.0,
0.0,0.0,0.0,15.034188,0.36605835,0.0,
0.0,0.0,0.0,15.034188,0.36605835,0.0,
0.0,0.0,0.0,23.547129,1.4457092,0.0,
0.0,0.0,0.0,32.212715,-6.4306335,0.0,
0.0,0.0,0.0,32.212715,-6.4306335,0.0,
0.0,0.0,0.0,32.212715,-6.4306335,0.0,
0.0,0.0,0.0,32.212715,-6.4306335,0.0,
0.0,0.0,0.0,-37.74704,-53.15474,0.0,
0.0,0.0,0.0,-37.74704,-53.15474,0.0,
0.0,0.0,0.0,-20.044828,-55.050587,0.0,
0.0,0.0,0.0,33.23199,-56.514557,0.0,
0.0,0.0,0.0,50.078022,-60.681,0.0,
0.0,0.0,0.0,50.078022,-60.681,0.0,
0.0,0.0,0.0,52.095135,-57.60122,0.0,
0.0,0.0,0.0,52.095135,-57.60122,0.0,
0.0,0.0,0.0,52.095135,-57.60122,0.0,
0.0,0.0,0.0,52.095135,-57.60122,0.0,
0.0,0.0,0.0,52.095135,-57.60122,0.0,
0.0,0.0,0.0,32.715717,10.584465,0.0,
0.0,0.0,0.0,32.715717,10.584465,0.0,
0.0,0.0,0.0,24.719978,22.565178,0.0,
0.0,0.0,0.0,24.719978,22.565178,0.0,
0.0,0.0,0.0,24.719978,22.565178,0.0,
0.0,0.0,0.0,24.719978,22.565178,0.0,
0.0,0.0,0.0,13.380101,29.026718,0.0,
0.0,0.0,0.0,13.380101,29.026718,0.0,
0.0,0.0,0.0,13.380101,29.026718,0.0,
0.0,0.0,0.0,13.380101,29.026718,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-6.5904636,27.778427,0.0,
0.0,0.0,0.0,-44.789032,-20.773514,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,-45.98635,-42.92128,0.0,
0.0,0.0,0.0,38.973537,-63.749428,0.0,
0.0,0.0,0.0,38.973537,-63.749428,0.0,
0.0,0.0,0.0,38.973537,-63.749428,0.0,
0.0,0.0,0.0,55.323143,-53.468613,0.0,
0.0,0.0,0.0,55.323143,-53.468613,0.0,
0.0,0.0,0.0,55.323143,-53.468613,0.0,
0.0,0.0,0.0,55.323143,-53.468613,0.0,
0.0,0.0,0.0,55.323143,-53.468613,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,38.2091,5.580719,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,27.34188,19.326286,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,23.588442,18.058792,0.0,
0.0,0.0,0.0,5.7590866,11.784187,0.0,
0.0,0.0,0.0,5.7590866,11.784187,0.0,
0.0,0.0,0.0,5.7590866,11.784187,0.0,
0.0,0.0,0.0,5.7590866,11.784187,0.0,
0.0,0.0,0.0,5.7590866,11.784187,0.0,
0.0,0.0,0.0,15.309228,-48.17315,0.0,
0.0,0.0,0.0,15.309228,-48.17315,0.0,
0.0,0.0,0.0,15.309228,-48.17315,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,8.407391,-32.610962,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,4.569999,-27.621235,0.0,
0.0,0.0,0.0,-12.701931,2.182579,0.0,
0.0,0.0,0.0,-28.57233,5.1308823,0.0,
0.0,0.0,0.0,-28.57233,5.1308823,0.0,
0.0,0.0,0.0,-28.57233,5.1308823,0.0,
0.0,0.0,0.0,-28.57233,5.1308823,0.0,
0.0,0.0,0.0,-28.57233,5.1308823,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,-42.087208,-32.275204,0.0,
0.0,0.0,0.0,24.761532,-52.220997,0.0,
0.0,0.0,0.0,24.761532,-52.220997,0.0,
0.0,0.0,0.0,42.90384,-27.421654,0.0,
0.0,0.0,0.0,29.251516,-27.58265,0.0,
0.0,0.0,0.0,29.251516,-27.58265,0.0,
0.0,0.0,0.0,29.251516,-27.58265,0.0,
0.0,0.0,0.0,29.251516,-27.58265,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-2.1687455,-33.635983,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,-22.465626,-38.144154,0.0,
0.0,0.0,0.0,47.793755,-8.786018,0.0,
0.0,0.0,0.0,47.793755,-8.786018,0.0,
0.0,0.0,0.0,30.408876,-25.60051,0.0,
0.0,0.0,0.0,-25.396984,-41.96855,0.0,
0.0,0.0,0.0,-25.396984,-41.96855,0.0,
0.0,0.0,0.0,-24.572218,-40.894264,0.0,
0.0,0.0,0.0,-24.572218,-40.894264,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-20.063385,-38.484367,0.0,
0.0,0.0,0.0,-4.7531595,-19.546486,0.0,
0.0,0.0,0.0,-1.2830524,-17.92434,0.0,
0.0,0.0,0.0,-1.2830524,-17.92434,0.0,
0.0,0.0,0.0,21.745512,-14.807495,0.0,
0.0,0.0,0.0,21.745512,-14.807495,0.0,
0.0,0.0,0.0,21.745512,-14.807495,0.0,
0.0,0.0,0.0,43.631577,-11.626602,0.0,
0.0,0.0,0.0,43.631577,-11.626602,0.0,
0.0,0.0,0.0,43.631577,-11.626602,0.0,
0.0,0.0,0.0,43.631577,-11.626602,0.0,
0.0,0.0,0.0,43.631577,-11.626602,0.0,
0.0,0.0,0.0,49.75378,-12.247749,0.0,
0.0,0.0,0.0,49.75378,-12.247749,0.0,
0.0,0.0,0.0,49.75378,-12.247749,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,42.516056,-14.690712,0.0,
0.0,0.0,0.0,-44.33768,-36.877758,0.0,
0.0,0.0,0.0,-44.33768,-36.877758,0.0,
0.0,0.0,0.0,-47.26692,-37.75773,0.0,
0.0,0.0,0.0,-47.26692,-37.75773,0.0,
0.0,0.0,0.0,-47.26692,-37.75773,0.0,
0.0,0.0,0.0,-62.27663,-46.497955,0.0,
0.0,0.0,0.0,-62.27663,-46.497955,0.0,
0.0,0.0,0.0,-66.83178,-50.039772,0.0,
0.0,0.0,0.0,-66.83178,-50.039772,0.0,
0.0,0.0,0.0,-73.057846,-55.882786,0.0,
0.0,0.0,0.0,-73.057846,-55.882786,0.0,
0.0,0.0,0.0,-74.60059,-57.38634,0.0,
0.0,0.0,0.0,-74.60059,-57.38634,0.0,
0.0,0.0,0.0,-74.77803,-57.45885,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-74.343895,-56.9486,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-69.12521,-53.089672,0.0,
0.0,0.0,0.0,-60.25147,-46.464466,0.0,
0.0,0.0,0.0,-60.25147,-46.464466,0.0,
0.0,0.0,0.0,-60.833363,-46.154842,0.0,
0.0,0.0,0.0,-50.243164,-42.474857,0.0,
0.0,0.0,0.0,-23.137598,-35.48493,0.0,
0.0,0.0,0.0,-15.212787,-32.982788,0.0,
0.0,0.0,0.0,-15.212787,-32.982788,0.0,
0.0,0.0,0.0,-15.212787,-32.982788,0.0,
0.0,0.0,0.0,-2.1638005,-5.4771576,0.0,
0.0,0.0,0.0,-2.1638005,-5.4771576,0.0,
0.0,0.0,0.0,-2.6444101,-2.1555328,0.0,
0.0,0.0,0.0,-2.8596303,-0.85069275,0.0,
0.0,0.0,0.0,-2.8596303,-0.85069275,0.0,
0.0,0.0,0.0,-2.8596303,-0.85069275,0.0,
0.0,0.0,0.0,-2.9204357,-0.60778046,0.0,
0.0,0.0,0.0,-2.9204357,-0.60778046,0.0,
0.0,0.0,0.0,-2.9204357,-0.60778046,0.0,
0.0,0.0,0.0,-2.9204357,-0.60778046,0.0,
0.0,0.0,0.0,-2.9204357,-0.60778046,0.0,
0.0,0.0,0.0,-3.0634255,-0.22492218,0.0,
0.0,0.0,0.0,-3.0634255,-0.22492218,0.0,
0.0,0.0,0.0,-3.0634255,-0.22492218,0.0,
0.0,0.0,0.0,-3.0634255,-0.22492218,0.0,
0.0,0.0,0.0,-3.0634255,-0.22492218,0.0,
0.0,0.0,0.0,-3.062941,-0.16155243,0.0,
0.0,0.0,0.0,-3.062941,-0.16155243,0.0,
0.0,0.0,0.0,-3.062941,-0.16155243,0.0,
