Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,2.814518,0.12700653,0.0,
0.0,0.0,0.0,-23.547129,-1.4457092,0.0,
0.0,0.0,0.0,-23.547129,-1.4457092,0.0,
0.0,0.0,0.0,-23.547129,-1.4457092,0.0,
0.0,0.0,0.0,-32.212715,6.4306335,0.0,
0.0,0.0,0.0,-32.212715,6.4306335,0.0,
0.0,0.0,0.0,-32.212715,6.4306335,0.0,
0.0,0.0,0.0,-32.212715,6.4306335,0.0,
0.0,0.0,0.0,9.6266,42.99899,0.0,
0.0,0.0,0.0,9.6266,42.99899,0.0,
0.0,0.0,0.0,9.6266,42.99899,0.0,
0.0,0.0,0.0,37.74704,53.15474,0.0,
0.0,0.0,0.0,52.56829,58.905384,0.0,
0.0,0.0,0.0,52.56829,58.905384,0.0,
0.0,0.0,0.0,52.56829,58.905384,0.0,
0.0,0.0,0.0,52.56829,58.905384,0.0,
0.0,0.0,0.0,59.659157,61.53486,0.0,
0.0,0.0,0.0,59.659157,61.53486,0.0,
0.0,0.0,0.0,59.659157,61.53486,0.0,
0.0,0.0,0.0,59.659157,61.53486,0.0,
0.0,0.0,0.0,39.08833,56.616554,0.0,
0.0,0.0,0.0,5.383887,54.193016,0.0,
0.0,0.0,0.0,-7.7691603,54.054024,0.0,
0.0,0.0,0.0,-7.7691603,54.054024,0.0,
0.0,0.0,0.0,-7.7691603,54.054024,0.0,
0.0,0.0,0.0,-33.23199,56.514557,0.0,
0.0,0.0,0.0,-33.23199,56.514557,0.0,
0.0,0.0,0.0,-33.23199,56.514557,0.0,
0.0,0.0,0.0,-33.23199,56.514557,0.0,
0.0,0.0,0.0,-50.078022,60.681,0.0,
0.0,0.0,0.0,-50.078022,60.681,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-52.095135,57.60122,0.0,
0.0,0.0,0.0,-36.837936,-2.6877365,0.0,
0.0,0.0,0.0,-36.837936,-2.6877365,0.0,
0.0,0.0,0.0,-28.9599,-17.002296,0.0,
0.0,0.0,0.0,-28.9599,-17.002296,0.0,
0.0,0.0,0.0,-24.719978,-22.565178,0.0,
0.0,0.0,0.0,-24.719978,-22.565178,0.0,
0.0,0.0,0.0,-13.380101,-29.026718,0.0,
0.0,0.0,0.0,-13.380101,-29.026718,0.0,
0.0,0.0,0.0,-13.380101,-29.026718,0.0,
0.0,0.0,0.0,-13.380101,-29.026718,0.0,
0.0,0.0,0.0,-13.380101,-29.026718,0.0,
0.0,0.0,0.0,6.5904636,-27.778427,0.0,
0.0,0.0,0.0,6.5904636,-27.778427,0.0,
0.0,0.0,0.0,6.5904636,-27.778427,0.0,
0.0,0.0,0.0,40.85853,12.053703,0.0,
0.0,0.0,0.0,44.789032,20.773514,0.0,
0.0,0.0,0.0,44.789032,20.773514,0.0,
0.0,0.0,0.0,44.789032,20.773514,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,45.98635,42.92128,0.0,
0.0,0.0,0.0,5.2157793,59.197315,0.0,
0.0,0.0,0.0,5.2157793,59.197315,0.0,
0.0,0.0,0.0,5.2157793,59.197315,0.0,
0.0,0.0,0.0,-38.973537,63.749428,0.0,
0.0,0.0,0.0,-38.973537,63.749428,0.0,
0.0,0.0,0.0,-38.973537,63.749428,0.0,
0.0,0.0,0.0,-38.973537,63.749428,0.0,
0.0,0.0,0.0,-58.336063,64.02342,0.0,
0.0,0.0,0.0,-58.336063,64.02342,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-55.323143,53.468613,0.0,
0.0,0.0,0.0,-40.195972,2.4475937,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-38.2091,-5.580719,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-23.588442,-18.058792,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-5.7590866,-11.784187,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-9.535261,52.04649,0.0,
0.0,0.0,0.0,-15.309228,48.17315,0.0,
0.0,0.0,0.0,-15.309228,48.17315,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,-4.569999,27.621235,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,12.701931,-2.182579,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,28.57233,-5.1308823,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,42.087208,32.275204,0.0,
0.0,0.0,0.0,-24.761532,52.220997,0.0,
0.0,0.0,0.0,-24.761532,52.220997,0.0,
0.0,0.0,0.0,-24.761532,52.220997,0.0,
0.0,0.0,0.0,-24.761532,52.220997,0.0,
0.0,0.0,0.0,-24.761532,52.220997,0.0,
0.0,0.0,0.0,-48.461323,38.29084,0.0,
0.0,0.0,0.0,-42.90384,27.421654,0.0,
0.0,0.0,0.0,-42.90384,27.421654,0.0,
0.0,0.0,0.0,-29.251516,27.58265,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,22.465626,38.144154,0.0,
0.0,0.0,0.0,-45.405033,9.038261,0.0,
0.0,0.0,0.0,-47.793755,8.786018,0.0,
0.0,0.0,0.0,-41.403893,18.775146,0.0,
0.0,0.0,0.0,-41.403893,18.775146,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,-30.408876,25.60051,0.0,
0.0,0.0,0.0,23.693398,42.120415,0.0,
0.0,0.0,0.0,23.693398,42.120415,0.0,
0.0,0.0,0.0,20.063385,38.484367,0.0,
0.0,0.0,0.0,20.063385,38.484367,0.0,
0.0,0.0,0.0,20.063385,38.484367,0.0,
0.0,0.0,0.0,5.3075476,21.73922,0.0,
0.0,0.0,0.0,5.3075476,21.73922,0.0,
0.0,0.0,0.0,4.7531595,19.546486,0.0,
0.0,0.0,0.0,4.7531595,19.546486,0.0,
0.0,0.0,0.0,1.2830524,17.92434,0.0,
0.0,0.0,0.0,1.2830524,17.92434,0.0,
0.0,0.0,0.0,-21.745512,14.807495,0.0,
0.0,0.0,0.0,-21.745512,14.807495,0.0,
0.0,0.0,0.0,-48.351307,11.444801,0.0,
0.0,0.0,0.0,-48.351307,11.444801,0.0,
0.0,0.0,0.0,-49.27595,11.754158,0.0,
0.0,0.0,0.0,-49.27595,11.754158,0.0,
0.0,0.0,0.0,-49.75378,12.247749,0.0,
0.0,0.0,0.0,-49.75378,12.247749,0.0,
0.0,0.0,0.0,-49.936726,12.660446,0.0,
0.0,0.0,0.0,-49.936726,12.660446,0.0,
0.0,0.0,0.0,-49.936726,12.660446,0.0,
0.0,0.0,0.0,-49.936726,12.660446,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,-42.516056,14.690712,0.0,
0.0,0.0,0.0,44.33768,36.877758,0.0,
0.0,0.0,0.0,44.33768,36.877758,0.0,
0.0,0.0,0.0,47.26692,37.75773,0.0,
0.0,0.0,0.0,47.26692,37.75773,0.0,
0.0,0.0,0.0,66.83178,50.039772,0.0,
0.0,0.0,0.0,66.83178,50.039772,0.0,
0.0,0.0,0.0,73.057846,55.882786,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
0.0,0.0,0.0,74.343895,56.9486,0.0,
