Alfa, Beta, Gamma
-74.74997,32.55145,157.36128,
-74.473015,32.947872,157.02289,
-74.473015,32.947872,157.02289,
-74.473015,32.947872,157.02289,
-73.71359,33.488556,156.26471,
-73.71359,33.488556,156.26471,
-73.71359,33.488556,156.26471,
-62.758472,41.19738,150.35095,
-62.758472,41.19738,150.35095,
-61.2153,42.42141,149.59348,
-61.2153,42.42141,149.59348,
-61.2153,42.42141,149.59348,
-61.2153,42.42141,149.59348,
-60.294273,43.435978,149.22424,
-60.294273,43.435978,149.22424,
-60.291733,43.69553,149.35924,
-60.75763,43.85152,149.87326,
-61.245953,43.71882,150.23383,
-61.245953,43.71882,150.23383,
-61.245953,43.71882,150.23383,
-54.19329,46.35796,145.56503,
-54.19329,46.35796,145.56503,
-25.824972,53.839005,117.35846,
-25.824972,53.839005,117.35846,
-7.1347504,66.22747,103.32005,
-2.346294,85.88145,26.968193,
-2.571973,87.426216,85.117455,
-2.571973,87.426216,85.117455,
-2.8370106,89.042076,146.42508,
-2.8370106,89.042076,146.42508,
-2.8370106,89.042076,146.42508,
-2.8370106,89.042076,146.42508,
-2.8370106,89.042076,146.42508,
-2.8370106,89.042076,146.42508,
-2.90512,89.32964,137.7231,
-2.951394,89.505775,127.20983,
-2.951394,89.505775,127.20983,
-2.998562,89.627,121.93373,
-3.0641098,89.77381,156.87636,
-3.0641098,89.77381,156.87636,
-3.0641098,89.77381,156.87636,
-3.0641098,89.77381,156.87636,
-3.0529342,89.829094,167.05594,
-3.0529342,89.829094,167.05594,
-3.0529342,89.829094,167.05594,
-3.0668926,89.84377,170.3889,
-3.0996609,89.862236,159.66898,
-3.0996609,89.862236,159.66898,
-3.078571,89.860886,159.67442,
-3.0965006,89.85984,173.90013,
-3.0965006,89.85984,173.90013,
-3.0965006,89.85984,173.90013,
-3.108894,89.878075,174.6247,
-3.108894,89.878075,174.6247,
-3.1163654,89.868774,170.2519,
-3.0969296,89.860115,172.1306,
-3.0969296,89.860115,172.1306,
-3.0892453,89.873314,161.42325,
-3.0892453,89.873314,161.42325,
-3.0798233,89.85851,169.83719,
-3.082628,89.861305,169.61662,
-3.082628,89.861305,169.61662,
-3.084962,89.87907,172.45158,
